---,IngredientID,Text,isFinalBranch,NextDialogueBranch,RequiredNumber
doggoBranch1,doggoIngredients1:1,CHIKEN IS GRATE,FALSE,doggoBranch2,1
doggoBranch2,doggoIngredients1:1,I LOVE CHICKKEN SO MUCH,TRUE,None,1
doggoBranch3,doggoIngredients1:1,TWO CHICKEN IS V GOOD,TRUE,None,2
doggoBranch4,doggoIngredients1:1,OH WOW I WOS HAPPY AT 2 but 3 IS MORE GOODS,TRUE,None,3
doggoBranch5,doggoIngredients1:1,I LOVE CHICKEN 4EVA,TRUE,None,4
doggoBranch6,doggoIngredients1:1,CHICKEN IS BEST 5EVA,FALSE,doggoBranch7,5
doggoBranch7,doggoIngredients1:1,WOWEE I CAN ET CHIKEN ALL DAYS,TRUE,None,5
doggoBranch11,doggoIngredients1:2,DOGGO LOVES SALMON!,FALSE,doggoBranch12,1
doggoBranch12,doggoIngredients1:2,HOW YOUSE KNOW DOGGO LOV SAMLON,TRUE,None,1
doggoBranch13,doggoIngredients1:2,WOWEE 2 SALMON FUD,TRUE,None,2
doggoBranch14,doggoIngredients1:2,3 SALMUN IS GUD,TRUE,None,3
doggoBranch15,doggoIngredients1:2,I LOVE U 4EVA BUT SALMON IS 4.1EVA,TRUE,None,4
doggoBranch16,doggoIngredients1:2,OK 5 SAMON IS THE MOST I CAN TAKE THANK YOU HOOMAN,TRUE,None,5
doggoBranch21,doggoIngredients1:3,1 BEEF,TRUE,None,1
doggoBranch22,doggoIngredients1:3,OK 2 BOUEF,FALSE,doggoBranch23,2
doggoBranch23,doggoIngredients1:3,2 BOUEF IS FAVE,FALSE,doggoBranch24,2
doggoBranch24,doggoIngredients1:3,WOWEE THIS IS GOOD BOUEFE,TRUE,None,2
doggoBranch25,doggoIngredients1:3,OK SIR 3 BEFE IS ENUF,TRUE,None,3
doggoBranch31,doggoIngredients1:4,this fud is weird sir,TRUE,None,1
doggoBranch32,doggoIngredients1:4,y u serving me weird food,TRUE,None,2
doggoBranch33,doggoIngredients1:4,oh my doggo tum tum not gud feel,TRUE,None,3
doggoBranch34,doggoIngredients1:4,Mr Hooman I don't feel so good,TRUE,None,4
adamBranch1,adamIngredients1:1,People like to overcomplicate their grilled cheese sandwiches.,FALSE,adamBranch2,1
adamBranch2,adamIngredients1:1,All these fancy sourdough rye baguette focaccia brioche whatsits and whatnots.,TRUE,None,1
adamBranch3,adamIngredients1:1,"Me, I like it simple. White bread from Wonder Bread.",FALSE,adamBranch4,2
adamBranch4,adamIngredients1:1,"Economical and delicious, everything you need in a slice of bread.",TRUE,None,2
adamBranch5,adamIngredients1:1,"It’s just so soft and pillowy, it really takes me back to when I was a kid watching Saturday morning cartoons.",FALSE,adamBranch6,3
adamBranch6,adamIngredients1:1,Mom would grill up a sandwich for me if I promised to clean my room.,TRUE,None,3
adamBranch7,adamIngredients1:1,"I always cleaned my room, by the way.",TRUE,None,4
adamBranch8,adamIngredients1:2,A lot of people just spread butter all over their bread but I can tell you’re not one of those people.,TRUE,None,1
adamBranch9,adamIngredients1:2,Little trick that mom picked up from one of her chef-y friends was to spread mayo instead of butter on the exterior faces of the bread.,FALSE,adamBranch10,2
adamBranch10,adamIngredients1:2,"Gives the sandwich that amazing color and crispness when it gets grilled up. It also adds a little overall tang, which is nice when you’re eating a metric ton of cheese.",TRUE,None,2
adamBranch11,adamIngredients1:2,"To this day, I still swear by swapping out the butter for mayo.",FALSE,adamBranch12,3
adamBranch12,adamIngredients1:2,Although I won’t complain either way. A grilled cheese is a grilled cheese. You can’t mess it up.,TRUE,None,3
adamBranch13,adamIngredients1:3,How did you figure out my all-time favourite Special Cheese Combo Mix™?,FALSE,adamBranch14,1
adamBranch14,adamIngredients1:3,"3 slices of all-American processed cheese, fresh out of their little plastic packets.",TRUE,None,1
adamBranch15,adamIngredients1:3,"You put one slice on each piece of bread. But wait, you say, there’s one more slice? Heh.",FALSE,adamBranch16,2
adamBranch16,adamIngredients1:3,You tear up that last slice into strips to cover all the empty spaces of bread left.,TRUE,None,2
adamBranch17,adamIngredients1:3,"If I was extra good that week, mom would even let me have a fourth slice.",TRUE,None,3
adamBranch18,adamIngredients1:4,This isn’t traditional by any means but I love sprinkling a few sundried tomatoes over the cheese. ,TRUE,None,1
adamBranch19,adamIngredients1:4,"It’s not something that mom used to do, I just really appreciate the little bursts of concentrated tomato amidst all the gooey cheesiness.",TRUE,None,2
adamBranch20,adamIngredients1:4,It took quite some convincing but mom finally conceded to trying it out when I got older.,FALSE,adamBranch21,3
adamBranch21,adamIngredients1:4,This was long after all the Saturday-morning shows turned into Saturday-morning gaming sessions with the boys.,FALSE,adamBranch22,3
adamBranch22,adamIngredients1:4,I can’t remember the last time I picked up a controller. I wonder if the guys are doing alright. I hope they’re doing better than I am.,TRUE,None,3
adamBranch23,adamIngredients1:4,Back in school we used to get made fun of for playing our military simulator games. They’d call us nerds and other words I’d rather not mention.,FALSE,adamBranch24,4
adamBranch24,adamIngredients1:4,And then I signed up for the army.,TRUE,None,4
adamBranch25,adamIngredients1:5,Nothing really beats a good ol’ grilled cheese sandwich on rainy days. Days when you want to curl up in bed and forget all the shit you feel.,FALSE,adamBranch26,1
